date,SHOW,LIFT,SWET,KINX,VTOT,CAPE,CINS,CINV,EQLV,EQTV,LFCT,LFCV,BRCH,LCLT,LCLP,MLTH,THTK,PWAT,sin_month,cos_month,WS850,WDsin850,WDcos850,WS700,WS200,VWS,VWS_lo,RF_phuket,RF_krabi,RF_phangnga,year,month
2011-08-11,0.71,-1.27,201.81,31.6,24.7,96.22,-183.64,-134.45,432.48,429.0,620.92,651.63,4.95,292.7,939.09,298.02,5767.0,52.72,-0.866,-0.5,4.809,-0.9981,-0.0624,4.219,17.224,21.692,2.508,0.0,0.0,0.0,2011,8
2011-08-14,1.79,-0.37,185.0,32.4,21.7,99.88,-34.9,-29.38,412.36,404.67,853.72,864.1,80.56,292.41,926.92,298.84,5748.0,54.7,-0.866,-0.5,2.921,-0.7874,-0.6162,3.65,10.402,12.857,9.285,0.0,0.0,0.0,2011,8
2011-08-17,1.08,-2.4,191.8,32.9,23.3,869.69,-33.93,-25.31,173.69,173.6,845.6,875.0,25.2,294.65,952.11,298.83,5766.0,58.4,-0.866,-0.5,5.964,-0.5701,-0.8216,4.808,11.841,16.872,5.825,3.0048283024968585,10.954917220179938,3.5983834003020547,2011,8
2011-08-19,-1.68,-5.18,204.39,37.4,24.7,1334.04,-5.38,-3.73,169.98,168.94,912.84,925.39,67.11,295.04,942.49,300.09,5758.0,58.77,-0.866,-0.5,5.217,-0.9776,-0.2109,2.302,14.339,19.282,12.06,32.52583789456091,9.262949779828451,1.458618200400722,2011,8
2011-08-20,-1.96,-1.78,235.99,37.3,23.5,626.26,-66.45,-42.24,194.08,193.17,772.5,794.64,136.63,293.96,940.82,299.15,5756.0,54.98,-0.866,-0.5,5.547,-0.8834,-0.4687,1.556,16.617,22.02,10.317,0.0,0.0,0.0,2011,8
2011-08-21,1.95,-1.27,173.38,31.8,24.3,257.48,-136.17,-96.49,310.73,309.46,715.44,731.91,36.06,293.44,945.58,298.2,5766.0,53.39,-0.866,-0.5,4.562,-0.4384,-0.8987,3.547,14.425,17.847,8.095,0.0,0.0,0.0,2011,8
2011-08-22,2.91,0.06,163.61,32.7,23.5,10.13,-133.44,-108.56,461.25,459.6,693.95,700.89,0.17,291.24,904.38,299.74,5774.0,52.89,-0.866,-0.5,2.502,-0.9992,-0.04,0.632,12.816,15.255,7.101,7.305187978064733,0.0,0.0,2011,8
2011-08-23,1.94,-2.71,188.41,32.2,22.9,725.51,-6.78,-2.24,204.68,204.42,870.43,931.89,474.48,295.13,959.82,298.62,5765.0,55.31,-0.866,-0.5,4.272,-0.8427,0.5384,3.712,11.014,13.992,10.197,0.0,0.0,0.0,2011,8
2011-08-26,1.45,-1.95,220.8,32.0,23.3,229.03,-10.21,-4.23,228.68,228.49,887.93,904.09,16.06,293.06,921.18,300.04,5771.0,54.82,-0.866,-0.5,13.596,-0.8973,0.4413,10.898,14.182,23.555,11.625,0.0,0.0,0.0,2011,8
2011-08-27,1.97,0.69,242.39,33.4,21.9,0.14,-56.7,-51.39,557.19,554.49,802.11,813.7,0.0,291.94,931.95,297.91,5757.0,58.14,-0.866,-0.5,13.462,-0.9731,0.2303,9.381,12.021,21.251,6.407,0.0,0.0,0.0,2011,8
2011-08-31,4.77,2.36,221.99,27.3,18.8,0.0,-55.56,-45.38,805.63,598.9,811.85,830.09,0.0,294.72,934.68,300.48,5840.0,64.2,-0.866,-0.5,7.43,-0.8748,-0.4845,5.831,18.224,25.592,5.831,1.0627167800918866,9.800700215844165,0.6831987070654664,2011,8
2011-09-01,1.95,-3.87,197.8,26.1,22.7,1502.53,-18.87,-11.01,149.83,149.83,888.92,905.0,144.8,295.65,950.55,299.98,5772.0,51.25,-1.0,-0.0,6.66,-0.7508,-0.6607,7.212,23.901,30.237,8.45,1.9300928424984616,0.0,8.286752603954934,2011,9
2011-09-02,1.86,-0.02,188.8,25.7,24.3,6.02,-239.69,-134.12,467.76,464.41,571.25,769.45,0.28,292.45,936.93,297.98,5767.0,46.79,-1.0,-0.0,6.866,-0.9758,-0.2185,6.129,21.333,28.034,4.682,0.0,0.0,0.0,2011,9
2011-09-03,3.71,-2.28,166.98,29.5,23.5,731.22,-39.6,-11.78,204.35,204.05,804.33,861.64,111.95,293.8,928.25,300.13,5763.0,51.14,-1.0,-0.0,5.808,-0.9986,-0.0517,6.435,18.06,23.373,5.004,12.3773479094909,9.61287177192554,2.01289007924824,2011,9
2011-09-04,2.4,2.07,244.6,34.5,19.7,4.29,-12.81,-13.62,768.07,769.41,874.77,875.9,0.09,292.23,948.56,296.7,5746.0,61.59,-1.0,-0.0,9.815,-0.9883,-0.1528,4.455,19.988,29.764,10.5,10.179235069326337,0.5207134661438572,13.081308733396288,2011,9
2011-09-07,3.38,-1.75,169.6,26.7,23.9,267.04,-69.05,-16.17,259.23,259.01,713.18,807.79,407.57,293.17,930.68,299.26,5763.0,46.49,-1.0,-0.0,5.224,-0.9954,-0.0957,1.789,14.123,19.334,10.112,0.0,0.0,0.0,2011,9
2011-09-08,1.57,0.92,216.59,32.2,22.9,0.8,-205.21,-174.11,540.32,521.51,584.54,615.79,1.91,291.78,925.18,298.36,5766.0,53.7,-1.0,-0.0,10.406,-0.9418,-0.3363,5.209,18.162,28.561,11.421,0.0,0.0,4.520299613481599,2011,9
2011-09-13,4.61,0.1,202.79,27.7,23.3,42.23,-243.28,-91.5,397.36,394.0,541.64,806.57,0.95,293.91,960.6,297.33,5787.0,53.9,-1.0,-0.0,12.297,-0.8539,-0.5205,8.006,18.66,30.739,14.165,0.0,0.0,0.0,2011,9
2011-09-16,2.26,-2.31,210.0,32.3,22.5,1003.59,-1.86,-0.61,143.55,143.42,934.16,943.2,25.61,295.15,953.63,299.2,5767.0,51.94,-1.0,-0.0,6.297,-0.9846,0.1747,3.86,21.676,27.459,11.5,1.6052139964102752,0.0,21.384577975084557,2011,9
2011-09-18,-0.2,-5.3,231.01,34.3,23.9,1981.44,0.0,0.0,135.33,135.31,953.77,958.26,5466.79,296.27,960.15,299.74,5772.0,59.27,-1.0,-0.0,12.16,-0.9786,0.2056,6.862,17.935,29.702,14.2,3.904485773006051,0.42330541346921113,3.308952666387415,2011,9
2011-09-19,-1.51,-3.55,254.4,36.8,22.9,795.19,-7.3,-8.7,196.32,196.35,930.63,930.59,14.55,295.56,974.35,297.78,5757.0,64.67,-1.0,-0.0,12.404,-0.9997,0.0242,7.94,16.08,28.43,15.816,0.9827324815055255,0.7648468528422775,12.550825697201992,2011,9
2011-09-20,2.1,-3.12,216.79,31.8,23.1,658.02,-4.47,-0.17,205.64,205.55,896.87,925.05,644.16,293.75,932.94,299.64,5747.0,52.01,-1.0,-0.0,12.027,-0.9978,0.0665,4.9,22.402,33.734,13.577,0.0,0.0,0.0,2011,9
2011-09-22,1.08,-1.11,223.81,26.6,22.7,109.52,-51.69,-47.07,357.7,356.18,844.24,854.21,22.46,293.05,941.2,298.19,5757.0,53.11,-1.0,-0.0,11.498,-0.9915,-0.1305,10.14,16.056,27.515,10.402,1.4793977952944712,1.5822981225859438,18.973339600472872,2011,9
2011-09-24,2.18,-0.94,192.61,32.8,25.1,71.12,-128.65,-101.04,435.29,432.15,723.08,765.91,1.48,291.83,928.53,298.09,5749.0,50.06,-1.0,-0.0,8.628,-0.9968,0.0811,9.339,19.809,27.331,2.025,0.0,0.0,0.0,2011,9
