station,model,feature_set,n,roc_auc,ci_lo,ci_hi,ci_method,pr_auc,brier,main_predictions_verified
phuket,Climatological,baseline,486,0.7263495092693566,0.6784922550938175,0.7709477028741467,paired_observation_bootstrap_not_temporal_block,0.6290297378727583,0.20018382456872147,True
phuket,LR,F4,486,0.8183274263904035,0.7793164086962473,0.8543689126226041,paired_observation_bootstrap_not_temporal_block,0.7684606011524594,0.17454672370157967,True
phuket,SVM,F4,486,0.8436818429661942,0.8064021665222731,0.8762224335518521,paired_observation_bootstrap_not_temporal_block,0.7898459221711013,0.16577766061277727,True
phuket,RF,F4,486,0.845104621046892,0.8093478854755244,0.8774214621516759,paired_observation_bootstrap_not_temporal_block,0.7934054784089997,0.16784515317786924,True
phuket,XGB,F4,486,0.8311239094874592,0.7945134818826391,0.8649695518292796,paired_observation_bootstrap_not_temporal_block,0.7841930450303571,0.16842465560191341,True
phuket,MLP,F4,486,0.8365423936750274,0.7982854760455336,0.8700864880870413,paired_observation_bootstrap_not_temporal_block,0.7830553656629936,0.16667535882622003,True
krabi,Climatological,baseline,486,0.6822839046199702,0.6353060259631065,0.7306325414081104,paired_observation_bootstrap_not_temporal_block,0.6095190119045433,0.20772886501674975,True
krabi,LR,F4,486,0.7680192385855574,0.7235069681483959,0.8103295996145166,paired_observation_bootstrap_not_temporal_block,0.7305568013267605,0.19334916029259716,True
krabi,SVM,F4,486,0.7699329359165424,0.7277681131238375,0.8122714752018722,paired_observation_bootstrap_not_temporal_block,0.7288320341114807,0.19839852506054811,True
krabi,RF,F4,486,0.7576463216366346,0.7139629186411894,0.7994545623204004,paired_observation_bootstrap_not_temporal_block,0.7218529797119797,0.19891995821995911,True
krabi,XGB,F4,486,0.7347750982251728,0.6882029675015569,0.7775937822622273,paired_observation_bootstrap_not_temporal_block,0.7143903309125117,0.2200092743562011,True
krabi,MLP,F4,486,0.7926940793930363,0.7537765252731253,0.83085487433083,paired_observation_bootstrap_not_temporal_block,0.7702549453411169,0.1857034534995172,True
phangnga,Climatological,baseline,486,0.7840613446528824,0.7403784064689508,0.8264199323961544,paired_observation_bootstrap_not_temporal_block,0.7448851176606822,0.17288827153138614,True
phangnga,LR,F4,486,0.8725352594824045,0.8395054589479526,0.9042511723471659,paired_observation_bootstrap_not_temporal_block,0.873771608840207,0.15138584940168187,True
phangnga,SVM,F4,486,0.854785704504998,0.8192787511101594,0.889292512335229,paired_observation_bootstrap_not_temporal_block,0.8652947657556518,0.1549545976611658,True
phangnga,RF,F4,486,0.8715938655347117,0.8384394574367635,0.9024744539572512,paired_observation_bootstrap_not_temporal_block,0.8855099460456491,0.15564775659225447,True
phangnga,XGB,F4,486,0.8533137066958785,0.8177266207925203,0.8846613734344484,paired_observation_bootstrap_not_temporal_block,0.8688406986265247,0.15386153000897052,True
phangnga,MLP,F4,486,0.8585855128029577,0.8240658973765249,0.8903282269785234,paired_observation_bootstrap_not_temporal_block,0.8693058108898479,0.17519460302338588,True
