station,feature_set,model_a,model_b,n_observations,auc_a,auc_b,z,p_raw,p_bh,reject_bh_0.05,family_size_planned,family_size_computable
phuket,F4,LR,SVM,486,0.8183274263904035,0.8436818429661941,-1.960071893015733,0.04998738789699352,0.18796818858014644,False,30,30
phuket,F4,LR,RF,486,0.8183274263904035,0.845104621046892,-1.8648260077754897,0.06220579654521148,0.18796818858014644,False,30,30
phuket,F4,LR,XGB,486,0.8183274263904035,0.8311239094874591,-0.8339509704995326,0.4043086130491198,0.6064629195736797,False,30,30
phuket,F4,LR,MLP,486,0.8183274263904035,0.8365423936750273,-1.7418092824889342,0.0815418218971063,0.22238678699210812,False,30,30
phuket,F4,SVM,RF,486,0.8436818429661941,0.845104621046892,-0.13482104508410966,0.892753366182769,0.9336411765888092,False,30,30
phuket,F4,SVM,XGB,486,0.8436818429661941,0.8311239094874591,0.9928982475988726,0.3207595438740879,0.5367569792038739,False,30,30
phuket,F4,SVM,MLP,486,0.8436818429661941,0.8365423936750273,0.7977217472450816,0.42503198081108196,0.6071885440158314,False,30,30
phuket,F4,RF,XGB,486,0.845104621046892,0.8311239094874591,1.584327580080813,0.1131191926737195,0.24854027544812748,False,30,30
phuket,F4,RF,MLP,486,0.845104621046892,0.8365423936750273,0.6892600152359938,0.4906596553986219,0.6690813482708481,False,30,30
phuket,F4,XGB,MLP,486,0.8311239094874591,0.8365423936750273,-0.4022984056410125,0.6874644278742259,0.8593305348427823,False,30,30
krabi,F4,LR,SVM,486,0.7680192385855575,0.7699329359165424,-0.13648894722666632,0.8914347616183329,0.9336411765888092,False,30,30
krabi,F4,LR,RF,486,0.7680192385855575,0.7576463216366346,0.6325674830492544,0.5270161271596012,0.6874123397733929,False,30,30
krabi,F4,LR,XGB,486,0.7680192385855575,0.7347750982251727,1.8616243195482154,0.06265606286004881,0.18796818858014644,False,30,30
krabi,F4,LR,MLP,486,0.7680192385855575,0.7926940793930362,-1.9234509912613267,0.05442343573487736,0.18796818858014644,False,30,30
krabi,F4,SVM,RF,486,0.7699329359165424,0.7576463216366346,0.9035067655086946,0.3662569992023229,0.5783005250562994,False,30,30
krabi,F4,SVM,XGB,486,0.7699329359165424,0.7347750982251727,2.286428877426556,0.022229180543108674,0.16081873884919962,False,30,30
krabi,F4,SVM,MLP,486,0.7699329359165424,0.7926940793930362,-2.1409625858543557,0.03227705534435523,0.16138527672177613,False,30,30
krabi,F4,RF,XGB,486,0.7576463216366346,0.7347750982251727,2.2143731094314574,0.026803123141533266,0.16081873884919962,False,30,30
krabi,F4,RF,MLP,486,0.7576463216366346,0.7926940793930362,-2.3159056711717754,0.02056341961838629,0.16081873884919962,False,30,30
krabi,F4,XGB,MLP,486,0.7347750982251727,0.7926940793930362,-3.387170408238945,0.0007061751025669077,0.02118525307700723,True,30,30
phangnga,F4,LR,SVM,486,0.8725352594824045,0.8547857045049979,1.5718494858263208,0.11598546187579283,0.24854027544812748,False,30,30
phangnga,F4,LR,RF,486,0.8725352594824045,0.8715938655347117,0.08326456357427013,0.9336411765888092,0.9336411765888092,False,30,30
phangnga,F4,LR,XGB,486,0.8725352594824045,0.8533137066958784,1.407051495237069,0.1594121195827367,0.3188242391654734,False,30,30
phangnga,F4,LR,MLP,486,0.8725352594824045,0.8585855128029577,0.9902453985377047,0.3220541875223243,0.5367569792038739,False,30,30
phangnga,F4,SVM,RF,486,0.8547857045049979,0.8715938655347117,-1.6695074626929856,0.09501685266055246,0.23754213165138113,False,30,30
phangnga,F4,SVM,XGB,486,0.8547857045049979,0.8533137066958784,0.12223125594110659,0.9027158733789613,0.9336411765888092,False,30,30
phangnga,F4,SVM,MLP,486,0.8547857045049979,0.8585855128029577,-0.24802305313702025,0.8041165701467972,0.9278268117078429,False,30,30
phangnga,F4,RF,XGB,486,0.8715938655347117,0.8533137066958784,2.233085142688261,0.02554333017779822,0.16081873884919962,False,30,30
phangnga,F4,RF,MLP,486,0.8715938655347117,0.8585855128029577,1.0044504891306003,0.3151615243670072,0.5367569792038739,False,30,30
phangnga,F4,XGB,MLP,486,0.8533137066958784,0.8585855128029577,-0.3363870290034909,0.7365790295282604,0.8838948354339125,False,30,30
