station,period,model,feature_set,n_train,n_test,rain_rate_test,roc_auc,pr_auc,brier
phuket,morning_07_13,LR,F4,999,486,0.2366255144032922,0.8174616195945154,0.5441201916183537,0.1868062764274258
phuket,morning_07_13,SVM,F4,999,486,0.2366255144032922,0.8326497128794095,0.5849853609776178,0.13469852705562443
phuket,morning_07_13,RF,F4,999,486,0.2366255144032922,0.8392710652759874,0.5750314703318392,0.13330240054869683
phuket,morning_07_13,XGB,F4,999,486,0.2366255144032922,0.8340325793976328,0.5614934274932747,0.14504966853859289
phuket,morning_07_13,MLP,F4,999,486,0.2366255144032922,0.8246337747568264,0.5444837281916274,0.1393267328586643
phuket,afternoon_13_19,LR,F4,999,486,0.2551440329218107,0.7655498128675815,0.4926107684822909,0.2014563946494192
phuket,afternoon_13_19,SVM,F4,999,486,0.2551440329218107,0.7849982177864908,0.5149259571345158,0.15695024962018242
phuket,afternoon_13_19,RF,F4,999,486,0.2551440329218107,0.769804847620745,0.4976076349961787,0.15985196616369454
phuket,afternoon_13_19,XGB,F4,999,486,0.2551440329218107,0.7510916057743716,0.4745855163458019,0.17385833092745132
phuket,afternoon_13_19,MLP,F4,999,486,0.2551440329218107,0.7334254143646408,0.45880057593728385,0.16962840580927915
phuket,evening_19_01next,LR,F4,999,486,0.20781893004115226,0.6858171531438858,0.3293714483034781,0.22554993709861965
phuket,evening_19_01next,SVM,F4,999,486,0.20781893004115226,0.6749260640349749,0.3202213679784581,0.15569436996596867
phuket,evening_19_01next,RF,F4,999,486,0.20781893004115226,0.6861000385752861,0.35757588064489826,0.15273312757201643
phuket,evening_19_01next,XGB,F4,999,486,0.20781893004115226,0.7049247781921049,0.33256635953354946,0.1677046178575305
phuket,evening_19_01next,MLP,F4,999,486,0.20781893004115226,0.6992927864214993,0.35481161746130546,0.1529915375536645
krabi,morning_07_13,LR,F4,999,486,0.19958847736625515,0.8299101582169455,0.5793433957887816,0.15485894571047223
krabi,morning_07_13,SVM,F4,999,486,0.19958847736625515,0.8174807197943444,0.5336853978747225,0.12445214271764808
krabi,morning_07_13,RF,F4,999,486,0.19958847736625515,0.8193226088569687,0.5608416070363659,0.1236622243903819
krabi,morning_07_13,XGB,F4,999,486,0.19958847736625515,0.8100866615429465,0.5428279042344375,0.1359950389240483
krabi,morning_07_13,MLP,F4,999,486,0.19958847736625515,0.8234436699970847,0.5378101007179081,0.1243344929911137
krabi,afternoon_13_19,LR,F4,1000,486,0.3168724279835391,0.7178845251134408,0.5176261258596191,0.21436642564539846
krabi,afternoon_13_19,SVM,F4,1000,486,0.3168724279835391,0.6798231888593333,0.4670625627231998,0.19970607490750725
krabi,afternoon_13_19,RF,F4,1000,486,0.3168724279835391,0.6662200751056173,0.4633162785134096,0.19869810242341107
krabi,afternoon_13_19,XGB,F4,1000,486,0.3168724279835391,0.6491550618056642,0.43303982777219846,0.23080674751907493
krabi,afternoon_13_19,MLP,F4,1000,486,0.3168724279835391,0.7167305585980285,0.5137469526785137,0.19086975100333908
krabi,evening_19_01next,LR,F4,999,486,0.21604938271604937,0.6494688163979503,0.296425345043176,0.23556619989494024
krabi,evening_19_01next,SVM,F4,999,486,0.21604938271604937,0.6640419947506561,0.32540224142574176,0.16285166086271216
krabi,evening_19_01next,RF,F4,999,486,0.21604938271604937,0.7008373953255843,0.3988609631821911,0.1545524818616128
krabi,evening_19_01next,XGB,F4,999,486,0.21604938271604937,0.7005624296962879,0.38985898929523966,0.1710432878957727
krabi,evening_19_01next,MLP,F4,999,486,0.21604938271604937,0.5718035245594301,0.2501827464733375,0.17309323484137545
phangnga,morning_07_13,LR,F4,999,486,0.2551440329218107,0.850494564248797,0.6549428311777976,0.15113436401612593
phangnga,morning_07_13,SVM,F4,999,486,0.2551440329218107,0.8456157547674211,0.6182868011022657,0.13600830091555396
phangnga,morning_07_13,RF,F4,999,486,0.2551440329218107,0.8460278916414188,0.640715068528448,0.13551310013717419
phangnga,morning_07_13,XGB,F4,999,486,0.2551440329218107,0.8363705221885581,0.6117247771834233,0.14750837899859073
phangnga,morning_07_13,MLP,F4,999,486,0.2551440329218107,0.8588932454108003,0.6736379607616225,0.1308715776427411
phangnga,afternoon_13_19,LR,F4,1000,486,0.37037037037037035,0.7613834422657952,0.6154063653235045,0.2003168737314737
phangnga,afternoon_13_19,SVM,F4,1000,486,0.37037037037037035,0.7726216412490923,0.635493660958722,0.18782195272101423
phangnga,afternoon_13_19,RF,F4,1000,486,0.37037037037037035,0.7600490196078432,0.6011240946642424,0.19196358948423242
phangnga,afternoon_13_19,XGB,F4,1000,486,0.37037037037037035,0.7489288307915759,0.6027896168277962,0.1986968694563959
phangnga,afternoon_13_19,MLP,F4,1000,486,0.37037037037037035,0.7753086419753086,0.6375590985468466,0.18663218628331593
phangnga,evening_19_01next,LR,F4,999,486,0.2839506172839506,0.7411086123604864,0.4873767283040639,0.2182208760749401
phangnga,evening_19_01next,SVM,F4,999,486,0.2839506172839506,0.7569132100616357,0.5101315114210052,0.17371822285584665
phangnga,evening_19_01next,RF,F4,999,486,0.2839506172839506,0.7492816091954024,0.5146425609181209,0.1732513202187408
phangnga,evening_19_01next,XGB,F4,999,486,0.2839506172839506,0.7396301849075463,0.4819168544541394,0.18769477873076237
phangnga,evening_19_01next,MLP,F4,999,486,0.2839506172839506,0.5501207729468599,0.32018260113240954,0.2109813228333747
