station,model,feature_set,hold_year,auc,n
phuket,LR,F4,2011,0.8981818181818182,36
phuket,SVM,F4,2011,0.8854545454545454,36
phuket,RF,F4,2011,0.9436363636363637,36
phuket,XGB,F4,2011,0.8836363636363637,36
phuket,MLP,F4,2011,0.8654545454545455,36
phuket,LR,F4,2012,0.6833570228711721,251
phuket,SVM,F4,2012,0.6206874273161906,251
phuket,RF,F4,2012,0.6517637937718052,251
phuket,XGB,F4,2012,0.6407804625920661,251
phuket,MLP,F4,2012,0.6451091872334926,251
phuket,LR,F4,2013,0.5512820512820513,35
phuket,SVM,F4,2013,0.5897435897435898,35
phuket,RF,F4,2013,0.7051282051282051,35
phuket,XGB,F4,2013,0.7350427350427351,35
phuket,MLP,F4,2013,0.5726495726495727,35
phuket,LR,F4,2014,0.6863119834710742,281
phuket,SVM,F4,2014,0.6389462809917354,281
phuket,RF,F4,2014,0.6291838842975207,281
phuket,XGB,F4,2014,0.6443698347107438,281
phuket,MLP,F4,2014,0.6556301652892562,281
phuket,LR,F4,2015,0.8086075949367089,104
phuket,SVM,F4,2015,0.7392405063291139,104
phuket,RF,F4,2015,0.7812658227848102,104
phuket,XGB,F4,2015,0.790379746835443,104
phuket,MLP,F4,2015,0.7969620253164558,104
phuket,LR,F4,2016,0.6666666666666667,13
phuket,SVM,F4,2016,0.5714285714285714,13
phuket,RF,F4,2016,0.5238095238095238,13
phuket,XGB,F4,2016,0.7380952380952381,13
phuket,MLP,F4,2016,0.6190476190476191,13
phuket,LR,F4,2018,0.6591880341880342,111
phuket,SVM,F4,2018,0.7446581196581197,111
phuket,RF,F4,2018,0.724537037037037,111
phuket,XGB,F4,2018,0.6891025641025642,111
phuket,MLP,F4,2018,0.5281339031339032,111
phuket,LR,F4,2019,0.7910295616717635,163
phuket,SVM,F4,2019,0.7901800883452259,163
phuket,RF,F4,2019,0.8218654434250765,163
phuket,XGB,F4,2019,0.7759089364593952,163
phuket,MLP,F4,2019,0.7830445124023105,163
krabi,LR,F4,2011,0.7170138888888888,36
krabi,SVM,F4,2011,0.6718750000000001,36
krabi,RF,F4,2011,0.6788194444444444,36
krabi,XGB,F4,2011,0.6440972222222222,36
krabi,MLP,F4,2011,0.7864583333333333,36
krabi,LR,F4,2012,0.6697318007662836,251
krabi,SVM,F4,2012,0.6455938697318008,251
krabi,RF,F4,2012,0.6656768837803321,251
krabi,XGB,F4,2012,0.6821839080459771,251
krabi,MLP,F4,2012,0.7006385696040868,251
krabi,LR,F4,2013,0.7159090909090909,35
krabi,SVM,F4,2013,0.75,35
krabi,RF,F4,2013,0.625,35
krabi,XGB,F4,2013,0.5340909090909092,35
krabi,MLP,F4,2013,0.7234848484848485,35
krabi,LR,F4,2014,0.6862339809838776,282
krabi,SVM,F4,2014,0.6411482017362548,282
krabi,RF,F4,2014,0.6435768912773874,282
krabi,XGB,F4,2014,0.6302190988011576,282
krabi,MLP,F4,2014,0.6778110789582472,282
krabi,LR,F4,2015,0.7770897832817337,104
krabi,SVM,F4,2015,0.6291021671826627,104
krabi,RF,F4,2015,0.7739938080495357,104
krabi,XGB,F4,2015,0.7993808049535603,104
krabi,MLP,F4,2015,0.8365325077399381,104
krabi,LR,F4,2016,0.5714285714285714,13
krabi,SVM,F4,2016,0.7142857142857143,13
krabi,RF,F4,2016,0.45238095238095233,13
krabi,XGB,F4,2016,0.5952380952380952,13
krabi,MLP,F4,2016,0.5714285714285714,13
krabi,LR,F4,2018,0.6210826210826211,111
krabi,SVM,F4,2018,0.6673789173789174,111
krabi,RF,F4,2018,0.6960470085470085,111
krabi,XGB,F4,2018,0.6335470085470086,111
krabi,MLP,F4,2018,0.6029202279202279,111
krabi,LR,F4,2019,0.7237737200143215,163
krabi,SVM,F4,2019,0.6976369495166488,163
krabi,RF,F4,2019,0.7359470103831006,163
krabi,XGB,F4,2019,0.7184031507339778,163
krabi,MLP,F4,2019,0.7271750805585392,163
phangnga,LR,F4,2011,0.8353909465020576,36
phangnga,SVM,F4,2011,0.8806584362139918,36
phangnga,RF,F4,2011,0.8724279835390947,36
phangnga,XGB,F4,2011,0.8559670781893004,36
phangnga,MLP,F4,2011,0.8559670781893004,36
phangnga,LR,F4,2012,0.6808421639709984,251
phangnga,SVM,F4,2012,0.651910206358059,251
phangnga,RF,F4,2012,0.6686767986614612,251
phangnga,XGB,F4,2012,0.6772169548243169,251
phangnga,MLP,F4,2012,0.6745677635248188,251
phangnga,LR,F4,2013,0.7278911564625851,35
phangnga,SVM,F4,2013,0.7346938775510203,35
phangnga,RF,F4,2013,0.6938775510204082,35
phangnga,XGB,F4,2013,0.7210884353741496,35
phangnga,MLP,F4,2013,0.6972789115646258,35
phangnga,LR,F4,2014,0.6553844563869368,282
phangnga,SVM,F4,2014,0.6586399338569657,282
phangnga,RF,F4,2014,0.6669594873914841,282
phangnga,XGB,F4,2014,0.6616370400992145,282
