station,model,feature_set,hold_year,auc,n,selection_basis
phuket,RF,F4,2011,0.9436363636363637,36,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phuket,RF,F4,2012,0.6517637937718052,251,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phuket,RF,F4,2013,0.7051282051282051,35,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phuket,RF,F4,2014,0.6291838842975207,281,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phuket,RF,F4,2015,0.7812658227848102,104,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phuket,RF,F4,2016,0.5238095238095238,13,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phuket,RF,F4,2018,0.724537037037037,111,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phuket,RF,F4,2019,0.8218654434250765,163,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
krabi,LR,F1,2011,0.6961805555555556,36,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
krabi,LR,F1,2012,0.7714559386973181,251,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
krabi,LR,F1,2013,0.6401515151515151,35,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
krabi,LR,F1,2014,0.6691039685820587,282,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
krabi,LR,F1,2015,0.7195046439628483,104,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
krabi,LR,F1,2016,0.5952380952380952,13,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
krabi,LR,F1,2018,0.627136752136752,111,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
krabi,LR,F1,2019,0.7210884353741497,163,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phangnga,MLP,F4,2011,0.8559670781893004,36,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phangnga,MLP,F4,2012,0.6745677635248188,251,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phangnga,MLP,F4,2013,0.6972789115646258,35,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phangnga,MLP,F4,2014,0.6847354278627532,282,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phangnga,MLP,F4,2015,0.8616977225672878,104,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phangnga,MLP,F4,2016,0.5,13,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phangnga,MLP,F4,2018,0.724952380952381,110,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
phangnga,MLP,F4,2019,0.8027319902319902,162,full_training_year_blocked_CV; post_selection_year_sensitivity_not_nested_selection_estimate
