station,hold_year,n,n_positive,n_negative,status
phuket,2011,36,25,11,evaluated
phuket,2012,251,142,109,evaluated
phuket,2013,35,26,9,evaluated
phuket,2014,281,160,121,evaluated
phuket,2015,104,25,79,evaluated
phuket,2016,13,7,6,evaluated
phuket,2017,0,0,0,no_station_matched_records_after_upstream_filters
phuket,2018,111,72,39,evaluated
phuket,2019,163,54,109,evaluated
krabi,2011,36,24,12,evaluated
krabi,2012,251,135,116,evaluated
krabi,2013,35,24,11,evaluated
krabi,2014,282,164,118,evaluated
krabi,2015,104,19,85,evaluated
krabi,2016,13,7,6,evaluated
krabi,2017,0,0,0,no_station_matched_records_after_upstream_filters
krabi,2018,111,72,39,evaluated
krabi,2019,163,49,114,evaluated
phangnga,2011,36,27,9,evaluated
phangnga,2012,251,163,88,evaluated
phangnga,2013,35,21,14,evaluated
phangnga,2014,282,164,118,evaluated
phangnga,2015,104,35,69,evaluated
phangnga,2016,13,10,3,evaluated
phangnga,2017,0,0,0,no_station_matched_records_after_upstream_filters
phangnga,2018,110,75,35,evaluated
phangnga,2019,162,78,84,evaluated
