station,model,feature_set,feature,mean_abs_shap,mean_signed_shap,n_train,n_test,shap_units,main_predictions_verified
phuket,XGB,F4,SHOW,0.15697796642780304,-0.01398227084428072,994,486,log_odds,True
phuket,XGB,F4,LIFT,0.35077422857284546,-0.04047766700387001,994,486,log_odds,True
phuket,XGB,F4,KINX,0.8031972646713257,-0.04538527876138687,994,486,log_odds,True
phuket,XGB,F4,VTOT,0.2053881287574768,0.02098684012889862,994,486,log_odds,True
phuket,XGB,F4,CAPE,0.10548148304224014,0.027365054935216904,994,486,log_odds,True
phuket,XGB,F4,CINS,0.2837057411670685,-0.006561962887644768,994,486,log_odds,True
phuket,XGB,F4,EQLV,0.23571206629276276,0.017836684361100197,994,486,log_odds,True
phuket,XGB,F4,LFCT,0.13818994164466858,-0.036110710352659225,994,486,log_odds,True
phuket,XGB,F4,LCLT,0.17079825699329376,-0.02442789636552334,994,486,log_odds,True
phuket,XGB,F4,LCLP,0.12841229140758514,0.009092901833355427,994,486,log_odds,True
phuket,XGB,F4,PWAT,0.17570608854293823,-0.045217644423246384,994,486,log_odds,True
phuket,XGB,F4,sin_month,0.4100123941898346,-0.12007579952478409,994,486,log_odds,True
phuket,XGB,F4,cos_month,0.08254192769527435,-0.007835160940885544,994,486,log_odds,True
phuket,XGB,F4,WS850,0.1750185489654541,-0.0035671177320182323,994,486,log_odds,True
phuket,XGB,F4,WDsin850,0.25494423508644104,-0.034362033009529114,994,486,log_odds,True
phuket,XGB,F4,WDcos850,0.1703113615512848,0.02498464100062847,994,486,log_odds,True
phuket,XGB,F4,WS700,0.09313182532787323,-0.004376213066279888,994,486,log_odds,True
phuket,XGB,F4,WS200,0.2507461607456207,-0.014130211435258389,994,486,log_odds,True
phuket,XGB,F4,VWS,0.11212877184152603,0.004809676203876734,994,486,log_odds,True
phuket,XGB,F4,VWS_lo,0.1664210706949234,0.009548485279083252,994,486,log_odds,True
krabi,XGB,F4,SHOW,0.16256996989250183,0.0005215264391154051,995,486,log_odds,True
krabi,XGB,F4,LIFT,0.24914051592350006,-0.03044680319726467,995,486,log_odds,True
krabi,XGB,F4,KINX,0.6493425369262695,-0.08734448999166489,995,486,log_odds,True
krabi,XGB,F4,VTOT,0.3107287883758545,0.02957402728497982,995,486,log_odds,True
krabi,XGB,F4,CAPE,0.09726618230342865,-0.012961640022695065,995,486,log_odds,True
krabi,XGB,F4,CINS,0.2790977358818054,-0.03825834020972252,995,486,log_odds,True
krabi,XGB,F4,EQLV,0.10577453672885895,-0.009682185016572475,995,486,log_odds,True
krabi,XGB,F4,LFCT,0.1116291806101799,0.01817372441291809,995,486,log_odds,True
krabi,XGB,F4,LCLT,0.11599535495042801,-0.029185300692915916,995,486,log_odds,True
krabi,XGB,F4,LCLP,0.11471474915742874,-0.02094256319105625,995,486,log_odds,True
krabi,XGB,F4,PWAT,0.2111905813217163,-0.07587314397096634,995,486,log_odds,True
krabi,XGB,F4,sin_month,0.39014071226119995,-0.10201475024223328,995,486,log_odds,True
krabi,XGB,F4,cos_month,0.09003563225269318,-0.00872838031500578,995,486,log_odds,True
krabi,XGB,F4,WS850,0.17553122341632843,0.013047072105109692,995,486,log_odds,True
krabi,XGB,F4,WDsin850,0.16438931226730347,-0.02186410129070282,995,486,log_odds,True
krabi,XGB,F4,WDcos850,0.12441424280405045,-0.02705233357846737,995,486,log_odds,True
krabi,XGB,F4,WS700,0.1486075073480606,-0.011516259051859379,995,486,log_odds,True
