station,feature_set,model_a,model_b,n_years,paired_years,median_diff,statistic,p_raw,test_status,method,p_bh,reject_bh_0.05,family_size_planned,family_size_computable
phuket,F4,LR,SVM,8,2011;2012;2013;2014;2015;2016;2018;2019,0.030046487603305805,10.0,0.3125,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.78125,False,30,30
phuket,F4,LR,RF,8,2011;2012;2013;2014;2015;2016;2018;2019,-0.0017470548007071374,16.0,0.84375,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.9040178571428571,False,30,30
phuket,F4,LR,XGB,8,2011;2012;2013;2014;2015;2016;2018;2019,0.014833039878911436,17.0,0.9453125,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.9453125,False,30,30
phuket,F4,LR,MLP,8,2011;2012;2013;2014;2015;2016;2018;2019,0.031704545454545374,3.0,0.0390625,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.78125,False,30,30
phuket,F4,SVM,RF,8,2011;2012;2013;2014;2015;2016;2018;2019,-0.031380860767732555,9.0,0.25,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.78125,False,30,30
phuket,F4,SVM,XGB,8,2011;2012;2013;2014;2015;2016;2018;2019,-0.012758294497441924,10.0,0.3125,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.78125,False,30,30
phuket,F4,SVM,MLP,8,2011;2012;2013;2014;2015;2016;2018;2019,-0.004774154177302703,16.0,0.84375,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.9040178571428571,False,30,30
phuket,F4,RF,XGB,8,2011;2012;2013;2014;2015;2016;2018;2019,0.0009347035645531077,16.0,0.84375,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.9040178571428571,False,30,30
phuket,F4,RF,MLP,8,2011;2012;2013;2014;2015;2016;2018;2019,0.022737768780539236,11.0,0.3828125,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.8203125,False,30,30
phuket,F4,XGB,MLP,8,2011;2012;2013;2014;2015;2016;2018;2019,0.006926546770195829,10.0,0.3125,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.78125,False,30,30
krabi,F4,LR,SVM,8,2011;2012;2013;2014;2015;2016;2018;2019,0.02513735076607776,16.0,0.84375,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.9040178571428571,False,30,30
krabi,F4,LR,RF,8,2011;2012;2013;2014;2015;2016;2018;2019,0.021124680715197963,9.0,0.25,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.78125,False,30,30
krabi,F4,LR,XGB,8,2011;2012;2013;2014;2015;2016;2018;2019,-0.0035407689996748704,14.0,0.640625,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.9040178571428571,False,30,30
krabi,F4,LR,MLP,8,2011;2012;2013;2014;2015;2016;2018;2019,-0.00548855905998763,7.0,0.296875,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.78125,False,30,30
krabi,F4,SVM,RF,8,2011;2012;2013;2014;2015;2016;2018;2019,-0.013513729246487804,14.0,0.640625,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.9040178571428571,False,30,30
krabi,F4,SVM,XGB,8,2011;2012;2013;2014;2015;2016;2018;2019,0.019353440356437546,14.0,0.640625,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.9040178571428571,False,30,30
krabi,F4,SVM,MLP,8,2011;2012;2013;2014;2015;2016;2018;2019,-0.03310050413194143,13.0,0.546875,computed,exact_two_sided_signed_rank_sign_enumeration_zeros_discarded,0.9040178571428571,False,30,30
